BUS STOP ID,STOP_NAME,DESCRIPTION,LATITUDE,LONGITUDE,# BENCHES,# TRASHCANS,# SHELTERS,SHELTER_TYPE,# BIKERACKS
1,Rosa Parks Downtown Station,Northbound SE 3rd ST @ Nearside SE 3rd ST,29.64556734,-82.32269681,34,13,6,Metal,10
2,Hampton Inn Hotel,Westbound SE 2nd AVE @ Nearside SE 1st ST,29.65034625,-82.32380428,0,1,0,,2
3,SW 2nd Avenue @ SW 2nd Street,Westbound SW 2nd AVE @ Nearside SW 2nd ST,29.650368,-82.326465,1,1,0,,0
4,The Continuum,Westbound SW 2nd AVE @ Nearside SW 6th ST,29.65032525,-82.32967432,1,1,1,Metal,2
6,720 SW 2nd Ave,Westbound SW 2nd AVE @ Nearside SW 8th ST,29.65033494,-82.33279035,0,0,0,,0
7,Infinity Hall,Westbound SW 2nd AVE @ Nearside SW 10th ST,29.65031427,-82.33460268,1,1,1,Metal,0
8,Courtyard Apartments,Southbound SW 12th ST @ Farside SW 2nd AVE,29.64957427,-82.33717885,1,1,0,,0
9,Campus USA Credit Union,Southbound SW 12th ST @ Farside SW 4th AVE,29.64803327,-82.33715068,0,0,0,,0
10,Norman Hall,Southbound SW 12th ST @ Farside SW 6th AVE,29.64674428,-82.33717883,1,0,0,,0
12,Norman Field @ SW 8th Avenue,Westbound SW 8th AVE @ Farside SW 12th ST,29.64495627,-82.33809468,0,2,0,,0
13,Beaty Towers,Westbound Museum RD @ Farside SW 13th ST,29.644929,-82.340175,2,3,1,Metal,0
14,Frazier Rogers Hall,Westbound Museum RD @ Farside Newell DR,29.64494092,-82.34499721,0,2,1,Metal,0
15,Center Dr @ Museum Rd,Southbound Center DR @ Farside Museum RD,29.644019,-82.347014,1,3,1,Metal,11
16,Shands Hospital @ Center Drive,Southbound Center DR @ Nearside Mowry RD,29.64020161,-82.34628818,2,3,1,Metal,12
18,Shands Hospital @ Davis Cancer Pavilion,Westbound Archer RD @ Nearside Gale Lemerand DR,29.63702289,-82.34988451,1,0,0,,0
20,Mt Vernon Apartments,Westbound Archer RD @ Nearside SW 23rd DR,29.63388266,-82.35863713,1,1,1,Metal,0
22,Country Village Apartments,Westbound Archer RD @ Farside SW 23rd TER,29.63204594,-82.36253384,1,0,0,,0
23,UF Surge Area Drive,Westbound Archer RD @ Nearside Surge Area DR,29.63054044,-82.36576268,1,1,0,,0
24,Take Five Carwash,Westbound Archer RD @ Farside Surge Area DR,29.62956244,-82.36781834,1,1,0,,0
25,Archer Road @ SW 34th Street,Westbound Archer RD @ Nearside SW 34th ST,29.62775815,-82.37153823,1,1,1,Metal,0
26,Whole Foods @ Butler Town Center,Westbound Archer RD @ Farside SW 34th ST,29.62560361,-82.37439434,1,0,0,,0
27,Chili's Grill and Bar @ Butler Plaza,Westbound Archer RD @ Nearside SW 35th BLVD,29.62378176,-82.37608714,1,1,0,,0
28,Bonefish Grill Seafood Restaurant @ Butler Plaza,Westbound SW 35th BLVD @ Farside Archer RD,29.62480428,-82.37761251,1,1,0,,0
34,Archer Rd @ SW 34th St,Eastbound Archer RD @ Farside SW 34th ST,29.62758089,-82.37119809,1,1,0,,0
35,Silver Creek Apartments,Eastbound Archer RD @ Farside SW 34th ST,29.62907841,-82.3681701,1,1,1,Metal,0
36,Capstone Quarters Apartments,Eastbound Archer RD @ Farside Surge Area DR,29.62974694,-82.36662484,1,1,1,Metal,0
37,Brandywine Apartments,Eastbound Archer RD @ Farside Surge Area DR,29.63036821,-82.36536649,1,2,1,Metal,0
38,University Commons Apartments @ Archer Road,Eastbound Archer RD @ Nearside SW 23rd TER,29.63196028,-82.36199718,1,1,1,Metal,0
39,The Bartram Apartments,Eastbound Archer RD @ Farside SW 23rd DR,29.63369636,-82.3581948,5,1,1,Architectural,4
40,ShandsCair Helicopter Pad,Eastbound Archer RD @ Nearside Gale Lemerand DR,29.63640161,-82.35091151,1,0,0,,0
42,Shands Hospital @ Center Drive,Northbound Center DR @ Farside Mowry RD,29.64084372,-82.34606499,0,2,1,Metal,0
43,Center Dr @ Museum Rd,Northbound Center DR @ Nearside Museum RD,29.64436011,-82.34685268,0,3,1,Metal,0
45,University Police Department,Eastbound Museum RD @ Farside Newell DR,29.6447586,-82.34306806,2,0,1,Metal,0
46,Beaty Towers,Eastbound Museum RD @ Nearside SW 13th ST,29.64470561,-82.34079068,1,2,0,,0
52,SW 2nd Avenue @ SW 10th Street,Eastbound SW 2nd AVE @ Nearside SW 10th ST,29.65015377,-82.33540985,0,0,0,,0
53,Innovation Square,Eastbound SW 2nd AVE @ Nearside SW 7th TER,29.65015621,-82.33274051,4,2,0,,4
55,Second Avenue Center Apartments,Eastbound SW 2nd AVE @ Farside SW 6th ST,29.650171,-82.329834,1,0,1,Building overhang,0
56,SW 2nd Ave @ SW 2nd St,Eastbound SW 2nd AVE @ Nearside SW 2nd ST,29.650203,-82.326684,0,0,0,,0
57,Hippodrome Theater,Eastbound SE 2nd AVE @ Nearside SE 1st ST,29.6502146,-82.32413102,0,0,0,,0
60,SE 4th St @ SE 10th Ave,Eastbound SE 4th ST @ Nearside SE 10th AVE,29.64166565,-82.31995866,1,0,0,,0
61,Dignity Project,Southbound SE 4th ST @ Farside SE 10th AVE,29.63900398,-82.31861654,0,0,0,,0
63,Norwood Neighborhood,Southbound SE 4th ST @ Nearside SE 14th LN,29.63624575,-82.31726257,0,0,0,,0
64,Sugarhill Neighborhood @ SE 4th Street,Southbound SE 4th ST @ Nearside SE 19th PL,29.63400261,-82.31607069,1,1,1,Concrete,0
66,SE 22nd Avenue @ SE 12th Street,Eastbound SE 22nd AVE @ Nearside SE 12th ST,29.63178861,-82.31059986,1,0,0,,0
67,SE 22nd Avenue @ SE 13th Street,Eastbound SE 22nd AVE @ Nearside SE 13th ST,29.63179594,-82.30869253,1,0,0,,0
82,McPherson Recreation Center,Northbound SE 15th ST @ Farside SE 22nd AVE,29.63375196,-82.30579405,0,0,0,,0
84,SE 15th Street @ SE 13th Place,Northbound SE 15th ST @ Farside SE 13th PL,29.63904543,-82.30579603,0,0,0,,0
85,Lincoln Estates Neighborhood,Eastbound SE 12th AVE @ Farside SE 15th ST,29.64024461,-82.30544869,1,1,0,,0
87,SE 12th Ave @ SE 17th Ter,Eastbound SE 12th AVE @ Farside SE 17th TER,29.64022461,-82.30274386,0,0,0,,0
89,SE 12th Ave @ SE 19th Ter,Eastbound SE 12th AVE @ Nearside SE 19th TER,29.64019944,-82.29954819,1,1,0,,0
90,SE 19th Ter @ SE 10th Pl,Northbound SE 19th TER @ Nearside SE 10th PL,29.64174863,-82.29932598,0,0,0,,0
92,Lincoln Estates Neighborhood,Northbound SE 19th TER @ Nearside SE 8th AVE,29.64444194,-82.29935353,1,1,0,,0
96,SE 15th Street @ SE 3rd Avenue,Northbound SE 15th ST @ Nearside SE 3rd Ave,29.64878958,-82.30578802,0,0,0,,0
97,Veteran's Honor Center,Eastbound SE 3rd AVE @ Nearside SE 17th ST,29.64909794,-82.30334586,1,0,0,,0
98,SE Hawthorne Rd @ SE 18th St Eastbound,Eastbound Hawthorne RD @ Farside SE 18th ST,29.6487849,-82.3013771,1,0,0,,0
99,SE Hawthorne Rd @ SE 21st St Eastbound,Eastbound Hawthorne RD @ Nearside SE 21st ST,29.6469971,-82.2977727,0,0,0,,0
100,GTEC,Eastbound Hawthorne RD @ Nearside SE 24th ST,29.64620594,-82.29621203,0,0,0,,0
101,Dollar General @ SE 24th St,Northbound SE 24th ST @ Farside Hawthorne RD,29.64612277,-82.29376756,1,1,1,Metal,0
103,SE 24th Street @ E University Avenue,Northbound SE 24th ST @ Nearside E University AVE,29.65112827,-82.29320086,0,0,0,,0
107,Alachua County Health Department,Southbound Alachua County Health Department @ Far*,29.6490856,-82.2949412,2,1,1,Building,0
108,SE 24th Street at Hawthorne Road,Southbound SE 24th ST @ Nearside Hawthorne RD,29.6461483,-82.29394927,1,1,1,Metal,0
109,Phase III Supply,Westbound Hawthorne RD @ Nearside SE 21st ST,29.64701144,-82.29722836,0,0,0,,0
110,Veteran's Honor Center,Westbound SE 3rd AVE @ Farside SE 17th ST,29.64924863,-82.30417485,1,1,1,Metal,0
